Table printing
(2, -571) 
(3, 276) 
(6, -722) 
(7, 290) 
(11, 45) 
(13, 5) 
(16, -517) 
(17, -882) 
(18, 730) 
(20, -859) 
(21, 647) 
(24, 364) 
(25, 36) 
(26, -388) 
(27, 609) 
(28, -926) 
(35, -693) 
(36, 927) 
(37, 57) 
(40, 733) 
(48, 369) 
(51, 215) 
(53, 215) 
(55, 567) 
(59, -993) 
(62, 346) 
(63, 783) 
(64, 910) 
(65, 334) 
(66, -482) 
(68, -950) 
(74, -194) 
(76, -731) 
(77, -880) 
(79, 301) 
(80, -25) 
(82, 768) 
(84, 479) 
(85, 16) 
(86, 252) 
(87, -290) 
(88, -620) 
(90, 828) 
(92, -618) 
(95, 58) 
(96, 113) 
(99, 377) 
(101, 956) 
(103, -558) 
(104, 714) 
(105, -53) 
(109, 361) 
(111, 637) 
(113, -593) 
(114, -702) 
(115, 658) 
(117, 737) 
(121, 946) 
(122, -845) 
(123, 126) 
(124, -444) 
(125, -336) 
(127, -811) 
(128, -48) 
(129, 884) 
(131, -720) 
(134, -783) 
(138, 63) 
(140, -422) 
(141, -915) 
(143, 200) 
(144, 294) 
(147, -278) 
(148, -201) 
(149, -144) 
(155, 600) 
(157, -488) 
(158, -265) 
(159, 813) 
(160, -908) 
(162, 159) 
(163, -896) 
(165, -277) 
(169, 105) 
(170, 496) 
(172, -833) 
(173, 162) 
(175, -329) 
(179, 934) 
(182, 270) 
(183, -359) 
(184, 204) 
(185, 828) 
(188, -485) 
(189, 53) 
(190, 58) 
(191, -35) 
(193, -250) 
(196, -455) 
(199, 333) 
